id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13657,Prague City Center Apartment,48850,Jana,,Praha 2,50.07048,14.41556,Entire home/apt,1205,1,37,2019-03-04,0.34,1,0
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,Klara,,Praha 1,50.08295,14.41623,Entire home/apt,3779,1,19,2019-07-27,0.17,69,312
23169,M302-Cozy Serviced Studio in Center,5282,Klara,,Praha 1,50.08983,14.42317,Entire home/apt,2527,1,113,2019-04-30,0.99,69,0
26748,Apartment Great LETNA & Terrace,113902,Daniel+Bea,,Praha 7,50.10011,14.42567,Entire home/apt,2315,3,326,2019-09-14,2.97,3,269
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08569,14.43344,Entire home/apt,2078,3,222,2019-08-26,4.17,3,293
27916,Cosy & Quiet Studio - Romantic Stay in Zizkov,120384,Hana,,Praha 3,50.08113,14.4568,Entire home/apt,1110,2,389,2019-09-13,3.48,3,221
30762,R23-Elegant Serviced 86m2 | Center,5282,Klara,,Praha 1,50.08935,14.42711,Entire home/apt,5550,1,11,2019-07-09,0.11,69,48
33809,Charles Bridge- stylish apartment .,146052,Karen,,Praha 1,50.08871,14.40769,Entire home/apt,1653,3,265,2019-09-08,2.41,14,351
33813,Central sunny studio with garden.,146052,Karen,,Praha 2,50.0724,14.44079,Entire home/apt,1275,3,182,2019-08-15,1.71,14,354
40726,"Classy Studio, ART NOUVEAU house",174245,Suzanna,,Praha 3,50.07912,14.45373,Entire home/apt,1134,2,95,2019-08-15,0.88,3,281
40728,"Prime Location, Elegant Studio!",174245,Suzanna,,Praha 3,50.07871,14.45213,Entire home/apt,1110,2,113,2019-09-08,1.03,3,331
42514,"1BR next to Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08365,14.41409,Entire home/apt,2197,3,320,2019-06-16,2.88,1,297
44843,COMFY CENTRAL STUDIO,197594,Zuzie,,Praha 2,50.07432,14.43371,Entire home/apt,779,2,80,2019-08-18,1.76,8,263
49874,Red Flavour by Ruterra,227945,Alex And Kate,,Praha 2,50.07137,14.43274,Entire home/apt,1039,3,165,2019-09-12,1.52,101,143
50967,Ruterra 2 BDR Flat for Friends,227945,Alex And Kate,,Praha 3,50.08122,14.44835,Entire home/apt,1039,2,184,2019-09-03,1.69,101,135
52148,Ruterra 2Room Family Apartment,227945,Alex And Kate,,Praha 2,50.07142,14.43069,Entire home/apt,921,2,121,2019-09-06,1.12,101,156
54793,Cozy 2floor Prague apartment,257722,Michaela,,Praha 9,50.1104,14.49766,Entire home/apt,945,2,234,2019-08-26,2.35,11,10
55361,2 bedroom apartment in city centre ,261432,David,,Praha 7,50.0995,14.42922,Hotel room,2078,3,5,2018-06-25,0.05,1,329
55382,High class apartment in center,253631,Petra And Daniel,,Praha 1,50.08397,14.4293,Entire home/apt,779,2,206,2019-08-02,1.94,3,0
55844,Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.07802,14.43413,Entire home/apt,1039,3,275,2019-09-12,2.53,101,119
55856,Ruterra Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07832,14.43451,Entire home/apt,1205,2,188,2019-09-12,1.73,101,124
67612,Modern flat in the center of Prague,333807,Marco,,Praha 1,50.0773,14.42659,Entire home/apt,3023,2,178,2019-09-22,1.70,14,322
69335,Ruterra House with Garden by Metro,227945,Alex And Kate,,Praha 14,50.11181,14.55408,Entire home/apt,1677,3,119,2019-09-06,1.14,101,134
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.08769,14.45164,Entire home/apt,756,3,105,2019-09-07,1.02,101,117
73268,Beautiful & Cosy Room by Centre & Nature,382300,Gabriela,,Praha 7,50.10172,14.42331,Private room,425,2,14,2019-03-02,0.14,1,119
73454,Excellent location Old Town B31 2B,383698,Viktor,,Praha 1,50.08529,14.41997,Entire home/apt,2693,1,49,2019-09-14,0.48,59,282
74283,Grand Classic Two Bedroom Apartment,315332,Lubos & Marta,,Praha 1,50.08012,14.42193,Entire home/apt,3330,1,76,2019-09-14,0.84,29,46
74999,Two Bedroom Apartment Vodickova 2,315332,Lubos & Marta,,Praha 1,50.0806,14.42289,Entire home/apt,3070,1,31,2019-09-25,0.34,29,36
75009,Two Bedroom Apartment Vodickova 4,315332,Lubos & Marta,,Praha 1,50.07919,14.42159,Entire home/apt,2811,1,50,2019-09-23,0.50,29,25
75298,Emanuel Apartment Prague Center,398991,Emanuele,,Praha 1,50.09175,14.43323,Entire home/apt,1819,2,15,2019-08-25,0.40,3,323
75926,ARCO Guesthouse 5 - History & Culture,404062,Guenther,,Praha 2,50.07059,14.44164,Private room,1157,2,172,2019-04-27,1.70,7,0
76254,Great & central DanceLAB studio,406700,Rena,,Praha 2,50.07029,14.43487,Entire home/apt,756,2,136,2019-08-25,1.35,1,277
79373,M201-Stylish & Serviced in Centre,5282,Klara,,Praha 1,50.08964,14.42256,Entire home/apt,2976,1,33,2019-06-02,0.32,69,345
