id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21353826,Sprawling Sea Cliff Home with Breathtaking View,3838474,Vassiliki (Celia),,Seacliff,37.78863983135692,-122.48696869154567,Entire home/apt,250,3,3,2017-12-20,1.64,1,0
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.780659020499094,-122.50563477930223,Private room,69,3,71,2017-10-29,2.29,3,169
21065885,Best Ever SF Views Looking Glass Penthouse Suite,28223109,Jennifer,,Seacliff,37.78703531428325,-122.49321543328429,Private room,4000,30,0,,,3,365
20281663,Lovely SF Bedroom/Bath- Blocks from the Beach.,123931387,Milena,,Seacliff,37.78023428518402,-122.50665445177795,Private room,123,3,1,2017-09-05,0.23,2,69
18022892,San Francisco Retreat-2 blocks from the beach!,123931387,Milena,,Seacliff,37.780375249572,-122.50590289680045,Entire home/apt,169,6,7,2017-11-09,0.86,2,175
17701106,32nd Ave Casa,120614686,Deanna,,Seacliff,37.78342478272528,-122.49287898256281,Entire home/apt,98,1,12,2017-06-09,1.36,1,0
16362304,Best Master Suite in Town,36381578,Harris,,Seacliff,37.77984146441704,-122.50548312470745,Private room,75,3,36,2017-12-21,3.01,3,44
19905527,Best Ever Sea Cliff Golden Gate View Dream Retreat,28223109,Jennifer,,Seacliff,37.78623451323725,-122.49341722264116,Entire home/apt,5800,30,10,2017-12-16,2.33,3,365
21190709,Double Suite SF Dream Retreat w/Golden Gate Views,28223109,Jennifer,,Seacliff,37.78753194014091,-122.49261406673483,Private room,2500,30,4,2017-11-12,1.21,3,365
14252951,Cozy apartment in beautiful SF :),30270108,Safe,,Seacliff,37.783442157250974,-122.49254959712943,Entire home/apt,175,1,7,2017-08-20,0.40,1,0
16570521,Lands' End hideaway,21303289,Eugenia And Alessandro,,Seacliff,37.787331131096614,-122.49211694621914,Private room,120,4,18,2017-10-26,1.67,2,86
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.7866750798736,-122.49316168597302,Private room,135,2,114,2017-11-09,4.34,2,88
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,145,3,157,2018-01-08,3.82,1,205
2134100,Ocean Beach hilltop cottage (30 day rental or more,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,130,30,256,2017-10-19,5.31,1,342
18396762,Bliss Sanctuary Rejuvenation Home,5684789,Chinnamasta,,Seacliff,37.78161681440637,-122.49543499191412,Entire home/apt,180,2,18,2017-11-13,2.37,1,81
19745324,Super Fabulous Mansion!,5569348,Sako,,Seacliff,37.786480980835925,-122.48868251483614,Entire home/apt,700,3,9,2018-01-01,1.56,1,178
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156408540695,-122.49442445483002,Private room,93,3,61,2017-11-10,1.27,2,79
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78227777410354,-122.49278426951247,Entire home/apt,195,2,39,2017-11-23,1.93,2,0
1427660,Perfect Ocean Beach Getaway!,2275604,Laurie,,Seacliff,37.77523612890901,-122.50913745067113,Entire home/apt,135,2,350,2018-01-06,6.57,1,12
19893526,Charming Private Room Steps from Ocean & Hiking,291880,Chris,,Seacliff,37.78017692249841,-122.50860414772933,Private room,74,1,13,2018-01-04,2.41,1,78
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,170,30,6,2017-08-31,0.08,25,361
8142,Friendly Room Apartment Style,21994,Aaron,,Haight Ashbury,37.76487219421756,-122.45182799146508,Private room,65,32,7,2017-08-12,0.17,7,365
22147017,Cole Valley Casa shared 2 bedrooms,1243792,Carolyn,,Haight Ashbury,37.76468888547807,-122.44863121066689,Private room,350,4,0,,,2,287
1203526,In the heart of Haight/Ashbury # 3,4677165,Ashirvadam,,Haight Ashbury,37.771390923410095,-122.44729485341784,Private room,99,1,144,2017-10-21,2.60,4,326
20618317,Cole Valley Modern Victorian,105228498,Donna,,Haight Ashbury,37.768069347997475,-122.45270963348165,Entire home/apt,1000,3,0,,,1,0
1633933,Rare Loft in Victorian house,484257,Jean-Michel,,Haight Ashbury,37.77014551855592,-122.45352828497582,Private room,119,2,57,2017-11-12,1.09,2,355
17343208,Private Room in Historic B&B - Redwood Forest,117141107,Amber,,Haight Ashbury,37.770378707240354,-122.44947495273219,Private room,150,1,58,2017-12-13,5.52,13,201
19416033,Private Bedroom in the Haight,1653267,April,,Haight Ashbury,37.76860258689786,-122.44422950913263,Private room,76,6,0,,,1,0
1206184,In the Heart of Haight/Ashbury # 4,4677165,Ashirvadam,,Haight Ashbury,37.7711258612696,-122.4461646351246,Private room,89,1,195,2017-12-11,3.50,4,319
1919372,Jewel Box Studio in Hip NoPa,7361314,Art,,Haight Ashbury,37.77570008739193,-122.43847173013019,Entire home/apt,175,30,264,2017-12-29,5.32,1,237
21914,A Friendly Room Apartment Style,21994,Aaron,,Haight Ashbury,37.76480029761001,-122.45251322942761,Private room,65,32,14,2017-08-16,0.18,7,365
12041,Sunny/Sunset view room,21994,Aaron,,Haight Ashbury,37.77018946066375,-122.44594218370484,Private room,85,32,5,2016-10-16,0.07,7,365
130775,Emergency happy room-sink/tv,21994,Aaron,,Haight Ashbury,37.76608594076294,-122.45126197318658,Private room,65,32,10,2017-08-06,0.15,7,365
12042,Sunny/Sunset view room,21994,Aaron,,Haight Ashbury,37.76894262424544,-122.44778223886064,Private room,85,32,5,2015-10-18,0.09,7,365
7918,A Friendly Room,21994,Aaron,,Haight Ashbury,37.766689597862175,-122.45250461761628,Private room,65,32,17,2016-11-21,0.17,7,365
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.761935772488144,-122.4492861428232,Entire home/apt,300,3,89,2018-01-01,1.16,1,288
1206233,In the Heart of Haight/Ashbury #5,4677165,Ashirvadam,,Haight Ashbury,37.770275536079836,-122.44757323506505,Private room,79,1,259,2017-12-25,4.70,4,310
126046,SF Victorian With Skyline Views ,625762,Ryan And Lindsea,,Haight Ashbury,37.7681347587221,-122.44493597270328,Entire home/apt,170,30,79,2017-12-08,1.03,2,256
571042,View Cottage in San Francisco 3 BR,1550529,Shannon,,Haight Ashbury,37.768101414488996,-122.43972462971016,Entire home/apt,500,3,5,2017-12-30,0.08,1,9
19732293,Upscale master bedroom in beautiful NOPA Townhouse,2317858,Travis,,Haight Ashbury,37.77433437657481,-122.44255450416816,Private room,115,30,2,2017-11-18,0.59,2,62
4271413,"Quiet, Cozy, Private Haight Sanctuary",3336200,Michael,,Haight Ashbury,37.77071760816612,-122.44813154040213,Entire home/apt,160,2,9,2018-01-08,3.65,1,16
678556,Cheerful Private Garden Studio,3453060,Lorraine,,Haight Ashbury,37.774313181693294,-122.45236215907123,Entire home/apt,135,3,287,2018-01-02,47.57,1,210
20979534,NOPA private bedroom in a gorgeous Victorian Home,4276210,Varendra,,Haight Ashbury,37.77318337973388,-122.44147942754196,Private room,110,2,15,2018-01-02,4.46,2,38
1206261,In the Heart of Haight/Ashbury # 6,4677165,Ashirvadam,,Haight Ashbury,37.771069491329825,-122.44874356882352,Private room,99,1,137,2017-11-08,2.47,4,322
7327090,Sunny 2 bedroom close to Panhandle,5326462,Meg & John-Mark,,Haight Ashbury,37.77445239690477,-122.45008848579519,Entire home/apt,350,2,5,2017-08-18,0.17,1,224
1053945,Victorian Garden / City Living,5803665,Jacqui,,Haight Ashbury,37.77060059098784,-122.45074461584915,Entire home/apt,150,3,150,2017-12-29,2.64,1,291
7178670,Beautiful Bed and Bath Suite in Historic Victorian,6891075,Ryan,,Haight Ashbury,37.77560650964501,-122.44090093020392,Private room,239,1,177,2018-01-05,6.34,2,156
5031525,"Sunny, Spacious NOPA Garden Studio",21789834,Gabi,,Haight Ashbury,37.774778238079826,-122.44010951661937,Entire home/apt,200,30,69,2017-12-23,2.04,1,288
4379621,Elegant apartment in Haight-Ashbury,22740583,Greg,,Haight Ashbury,37.770000067290745,-122.44813676834384,Entire home/apt,211,2,121,2017-12-23,3.21,1,338
6290098,Apt. in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76219110652481,-122.44834937109863,Entire home/apt,300,2,34,2017-12-19,1.05,5,357
20394892,Haight Ashbury Home from Home,35688325,Ed,,Haight Ashbury,37.76975791448457,-122.44715383317708,Private room,81,2,1,2017-08-17,0.20,1,0
20268056,Cozy Cole Valley Single Room,67830390,Victoria,,Haight Ashbury,37.76795532229995,-122.44865268555316,Private room,75,2,5,2017-11-19,1.00,4,0
18037180,Gorgeous Serenity in the city with parking,80544181,Chris,,Haight Ashbury,37.772383793779525,-122.45249075565283,Entire home/apt,500,3,19,2017-12-26,3.37,1,82
18314694,Bright & Spacious Haight Ashbury Front Room #2,123485258,Joe,,Haight Ashbury,37.768778728597056,-122.44751881164856,Private room,150,2,1,2017-10-15,0.34,4,134
19165161,Private room in Haight Ashbury coop,133860992,Paul,,Haight Ashbury,37.77075710670404,-122.4445847222908,Private room,90,1,6,2017-06-26,0.84,1,0
15363634,Cosy big room in gorgeous Victorian building,40536296,Mustapha,,Haight Ashbury,37.77258504089319,-122.44110534119304,Private room,199,1,0,,,4,364
18876764,Lovely Remodeled Single-Family Home,21087770,Charles,,Haight Ashbury,37.76730071833274,-122.44795073945929,Entire home/apt,214,3,0,,,1,0
12814571,"Large, beautiful 2 BR Haight Ashbury Edwardian",14080773,Ken,,Haight Ashbury,37.76994374087791,-122.45037797174669,Entire home/apt,290,6,0,,,1,0
17649887,"Great place near UCSF, Haight and Castro",12437263,Karen,,Haight Ashbury,37.763651886133154,-122.44605554963029,Entire home/apt,225,2,0,,,1,179
14200724,Luxury Apartment - great place in Centre City,8522604,Kim,,Haight Ashbury,37.77018317981172,-122.43777210482212,Private room,299,1,0,,,1,365
22563829,Victorian Mansion by Haight-Ashbury and GG Park,720864,Eddie,,Haight Ashbury,37.77388120020525,-122.44902818172484,Private room,70,3,0,,,2,12
21112601,Sweet Haight Ashbury Suite Room #1,123485258,Joe,,Haight Ashbury,37.76959824140583,-122.45137406162803,Private room,199,2,0,,,4,0
22304026,Divisadero Victorian Flat- Street Side,154400045,Kirk,,Haight Ashbury,37.77097571392135,-122.43786733194491,Private room,190,1,0,,,3,165
9150171,Room in Historic SF,167143,Jessie,,Haight Ashbury,37.769303362710126,-122.45139747732715,Private room,99,3,0,,,2,0
21239190,Beautiful Victorian home in NOPA,4276210,Varendra,,Haight Ashbury,37.773818800964634,-122.44116307874975,Entire home/apt,200,3,0,,,2,0
21310703,2BR San Francisco Condo by Golden Gate Park!,103104686,Evolve Vacation Rental,,Haight Ashbury,37.77262737609431,-122.44738793377947,Entire home/apt,308,7,0,,,1,342
20608728,Charming Ashbury Heights Garden Studio,147265814,Courtney,,Haight Ashbury,37.765590794886336,-122.44489344926862,Entire home/apt,185,3,0,,,1,83
22516400,Enjoy SF from a Haight Ashbury suite!,165282814,Vince & Valerie,,Haight Ashbury,37.76965326047787,-122.45014094876848,Entire home/apt,200,2,0,,,1,93
2181382,Steps from Haight-Ashbury,11123613,Cecilia,,Haight Ashbury,37.76785123664059,-122.44793077073875,Private room,50,1,0,,,1,0
18431597,"Sunny, eclectic Haight-Ashbury 2-bedroom",12217784,Sara,,Haight Ashbury,37.77109492068213,-122.44403963341287,Entire home/apt,450,2,0,,,1,118
19861464,City Central & Cozy in Cole Valley Neighborhood,140442058,Sandy,,Haight Ashbury,37.76653187662076,-122.45263697764835,Entire home/apt,175,2,8,2017-09-13,1.38,1,0
19701460,"Lovely Victorian Home, Central to Everything SF!",138809020,Thomas,,Haight Ashbury,37.77163355149337,-122.43802727150698,Entire home/apt,500,3,2,2017-08-14,0.39,1,78
18063783,"King of Kings of the Haight Ashbury, San Francisco",124051180,Lana,,Haight Ashbury,37.76989238222697,-122.44286335772507,Entire home/apt,299,3,18,2017-11-10,1.98,1,82
17977925,Comfort and Class in Spacious Apartment,123485258,Joe,,Haight Ashbury,37.7695389249355,-122.44906626337958,Entire home/apt,375,2,31,2017-11-20,3.41,4,196
18550910,Bright and Spacious Haight Street Room #3,123485258,Joe,,Haight Ashbury,37.76915351648246,-122.4486806804867,Private room,150,2,1,2017-10-20,0.34,4,101
20171719,Spacious bedroom in Victorian building,111358958,Bridget,,Haight Ashbury,37.77402828146806,-122.43866895457768,Private room,60,7,1,2017-10-17,0.29,1,69
18463004,Welcome to Kings Landing in the Haight Ashbury!,99270779,Jamin,,Haight Ashbury,37.77206317337525,-122.44325542878475,Entire home/apt,299,3,15,2017-12-20,2.05,1,355
18837076,Ashbury Lodge,131187125,Cameron,,Haight Ashbury,37.76925645148278,-122.44750317295444,Private room,88,2,34,2017-11-02,4.38,1,0
21478380,Chic apartment in heart of Haight / Cole Valley,83585377,Miles,,Haight Ashbury,37.767325658336546,-122.45023642670108,Entire home/apt,125,1,8,2018-01-05,3.64,1,8
13772008,Peaceful Sanctuary in The Heart of Haight/Ashbury,80824107,Toni,,Haight Ashbury,37.770783176922315,-122.44400969601655,Entire home/apt,200,2,2,2017-03-13,0.11,1,0
13981030,Beautiful Room in the Haight!,76668568,Maximilian,,Haight Ashbury,37.772597461080835,-122.4540457886951,Private room,150,2,8,2017-10-15,0.44,1,89
22030905,Gorgeous In-Law Unit in the Heart of San Francisco,72516647,Deejae,,Haight Ashbury,37.77414724808229,-122.44931385670189,Entire home/apt,125,2,5,2018-01-09,5,1,0
17386464,Beautifully renovated 1 BR in NOPA,117528112,Francis,,Haight Ashbury,37.771534967849036,-122.43963470488012,Entire home/apt,275,2,18,2017-11-10,1.92,1,72
17767353,"Private Room in Historic B&B - ""Tea Garden"" Room",117141107,Amber,,Haight Ashbury,37.770169305813425,-122.44923314973,Private room,150,1,12,2018-01-06,1.30,13,30
18345542,Private Room in Historic B&B - Summer of Love Room,117141107,Amber,,Haight Ashbury,37.76909007035567,-122.4509987718171,Private room,150,1,14,2017-10-27,1.66,13,17
17696905,Private Room in Historic B&B - Golden Gate,117141107,Amber,,Haight Ashbury,37.76989597327568,-122.45074522474503,Private room,150,1,36,2017-12-26,3.88,13,201
18349074,Private Four Bed Room in Historic B&B - Poster,117141107,Amber,,Haight Ashbury,37.77029912367508,-122.44931622685017,Private room,150,1,31,2018-01-01,3.97,13,210
17433075,Private Room in Historic B&B - Rose Garden,117141107,Amber,,Haight Ashbury,37.770330565436744,-122.45052990542345,Private room,150,1,33,2018-01-02,3.69,13,200
18794629,Private Three Bed Room in Historic B&B - 'Friends',117141107,Amber,,Haight Ashbury,37.76921993886544,-122.4510681996664,Private room,150,1,29,2018-01-08,4.07,13,65
20287325,Private Room in Historic B&B - Gigi's Room,117141107,Amber,,Haight Ashbury,37.76901998310438,-122.45072129433836,Private room,150,1,14,2018-01-04,3.26,13,217
17731097,"Shared Room, Historic B&B: Fire Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.7691767958319,-122.44932021796647,Shared room,66,1,16,2018-01-08,1.61,13,141
17767863,Private Room in Historic B&B - Sunshine Room,117141107,Amber,,Haight Ashbury,37.769901716596245,-122.44933903471838,Private room,150,1,21,2018-01-02,2.16,13,105
21026891,"Shared Room Historic B&B: Water Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.76998801706669,-122.44938430720981,Shared room,60,1,13,2018-01-08,3.64,13,129
21026964,"Shared Room Historic B&B: Earth Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.768732680170146,-122.45089591855938,Shared room,60,1,7,2017-12-05,2.12,13,140
17344333,"Shared Room, Historic B&B: Air Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.76976899647826,-122.45052216483877,Shared room,100,1,8,2017-10-22,0.77,13,141
18237064,Cole Valley Comfort,67830390,Victoria,,Haight Ashbury,37.76804298766474,-122.44947600859619,Private room,75,2,10,2017-10-15,2.01,4,0
20250782,Cole Valley Queen,67830390,Victoria,,Haight Ashbury,37.767628414107804,-122.44967730558176,Private room,85,1,15,2017-10-15,3.00,4,0
20309567,3 bedrooms & private bath in Cole Valley Victorian,67830390,Victoria,,Haight Ashbury,37.76719884994654,-122.44952266813543,Entire home/apt,250,2,4,2017-11-10,1.29,4,0
19439849,Spacious Home in the Haight,67496126,Sandra,,Haight Ashbury,37.76762513182834,-122.45252374671453,Entire home/apt,225,2,2,2017-11-24,0.47,1,0
12005182,Blue House Grotto,64201770,Sherri,,Haight Ashbury,37.771916611285604,-122.4435415087459,Private room,125,1,2,2017-02-08,0.09,1,0
15134083,Luxury 2BR in Haight Ashbury Dist-Buena Vista Park,95958962,Marie,,Haight Ashbury,37.771694914221065,-122.43899647768163,Entire home/apt,349,30,20,2017-08-19,1.27,1,0
14627950,3 bedroom Classic Victorian NoPa,90807118,Christine,,Haight Ashbury,37.77461154173937,-122.44351378852978,Entire home/apt,1025,4,2,2017-11-10,0.13,1,0
14594885,Designer luxury home at entry to Golden Gate Park,51008244,Richard,,Haight Ashbury,37.77271479399554,-122.45337406764301,Entire home/apt,200,2,35,2017-11-09,2.19,1,62
9858310,Sunny Lower Haight 2 Bedroom Apt,50744275,Stephen,,Haight Ashbury,37.76951420419456,-122.43872440759945,Entire home/apt,200,2,7,2017-12-31,0.41,1,130
16079346,"Private Room in Historic Edwardian, Great Location",50381482,Monette,,Haight Ashbury,37.7659446116867,-122.44624182930094,Private room,100,2,5,2017-12-10,1.65,1,305
10733204,"Alamo Square, walk to everything SF",50333168,Ed,,Haight Ashbury,37.77555303698807,-122.44193811329168,Private room,75,1,109,2018-01-05,4.64,1,340
12857736,Master bedroom in modern apartment,70276952,Sofiane,,Haight Ashbury,37.77614931033633,-122.43907223963197,Private room,150,3,19,2017-11-09,0.94,1,0
9972077,Quiet Luxury in Central San Francisco,47980391,Michael And Kraig,,Haight Ashbury,37.761225011563475,-122.45095045684884,Entire home/apt,150,2,27,2017-11-06,1.17,1,5
14553693,Charming Cottage in Haight-Ashbury Garden,47941100,Syd,,Haight Ashbury,37.77062532755154,-122.43730629761183,Entire home/apt,160,3,67,2018-01-01,3.93,1,298
8844548,The Carriage House,46316665,Allen,,Haight Ashbury,37.771777722550944,-122.44541021743281,Entire home/apt,257,1,193,2017-12-12,7.09,1,50
12023104,Haight Ashbury 2BR 1BA Victorian,44296618,Andrea,,Haight Ashbury,37.770689923377724,-122.45096116655677,Private room,100,2,107,2017-11-11,4.91,1,0
15194237,"1 Bedroom in Beautiful, Convenient NOPA Apartment",43834119,Vyom,,Haight Ashbury,37.77437364529421,-122.44424998764804,Private room,80,3,2,2016-10-19,0.13,1,0
19813728,Private Room in Grand Victorian!,40536296,Mustapha,,Haight Ashbury,37.7721080345875,-122.44033743766077,Private room,235,2,1,2017-07-24,0.18,4,364
16202104,2 Bedrooms in Beautiful Victorian home,40536296,Mustapha,,Haight Ashbury,37.772197094160205,-122.44236742842924,Private room,345,2,3,2017-09-14,0.57,4,362
17288739,Entire 3 BR Victorian home with private garden,40536296,Mustapha,,Haight Ashbury,37.77245028974414,-122.44197633860735,Entire home/apt,550,1,1,2017-11-10,0.48,4,363
7619767,San Francisco -  Quaint Cole Valley,39964691,Arthur And Victoria,,Haight Ashbury,37.76316026248858,-122.45076353212923,Entire home/apt,490,4,13,2017-11-09,0.46,1,103
7478631,Most Cheerful in Cole Valley,38787416,Kay,,Haight Ashbury,37.762105442187355,-122.45201657617436,Entire home/apt,145,1,196,2017-12-15,6.84,1,241
7302136,"Spacious Apt, Sunset View, Convenient Neighborhood",38249439,Janet,,Haight Ashbury,37.76515704945544,-122.44657635846562,Entire home/apt,99,3,9,2017-08-31,0.31,1,0
